,id,tuit,G,L,B,T,O
22,1265414662872391680,@silver_rwolf @CarlosQ04929914 @jjsc30 No le hagas caso a esos gays reprimidos amistad mientras yo sepa ke es mayor de edad basta y tengo pruebas además nadie le pidió ke viera mis fotos. Mejor ke se ponga a trabajar viejo senil solo roba el oxígeno a los demás 😂,1,0,0,0,0
23,432983390212468800,Pide a @Disney que no adoctrine a nuestros hijos con ideología de género en sus programas infantiles. FIRMA:  url …,0,0,0,0,1
24,792935503821541376,"@GranTocin0 Por fin se te quito lo puto, celebro.",1,0,0,0,0
25,1138479400725278848,@kai_leonardo Uy un joto,1,0,0,0,0
26,1029513769272127616,@victormonroy1 P.D. Activa la cuenta de puto grupito pinché maricon cobarde,1,0,0,0,0
27,947708076454547584,Hay mujeres que parecen travestis 😧🤭 #SorryNotSorry,0,0,0,1,0
28,746758328013860864,Los trolebuses del desgobierno de @EPN son idiotas. Uno se pone Valeria y dice que tiene pito O es travesti o tiene el clitoris desarrollado,0,0,0,1,0
29,840334083729178624,"Si la gente supiera que eres un marica que manda Biblias por WhatsApp, se te caería tu teatro de ""Me siento bien vergas""",1,0,0,0,0
30,976691455673716736,Porqué será. url de maricones. ...😠😬 url,1,0,0,0,0
31,715565972166287360,"@LaTortilleriaQ si vamos a hacer un vagón ""seguro"" que incluya a hombres gay y saquen a lenchas

/@0ctavioGuerra @appleninde @InmujeresCDMX",1,1,0,0,0
32,1200119069065830400,"Vato marica metiendose con una url
#LordCafe 

A ver si la raza saca quien es. url",1,0,0,0,0
33,331991486084284416,Cuando las lesbianas salen a comer quien paga la cuenta? #YoMisogino,0,1,0,0,0
34,1122031554551853056,"@valndin Esos que te dijeron eso son gay, los hombres no rajamos y diles que digo yo. url",1,0,0,0,0
35,689880371656204288,@hectorghs @BullyingFutbol pinches jotos.,1,0,0,0,0
36,1128994152308453376,"Por puto, por joto, porque así es Méurl lo sé. #Must por el maestro @fdelcollado url vía @mexicopuntocom",1,0,0,0,0
37,1110301602378846208,Si quieren que tome su opinión en cuenta procuren no ser unas locas que andan enseñando las nalgas en redes sociales. ¿Ven por qué la gente nadie respeta a la comunidad LGBT? Porque se comportan como unas prostitutas sacadas de Sodoma y Gomorra.,1,1,1,1,1
38,904935771303501824,@mvegab17 @iloveRamgsi Que marica.,1,0,0,0,0
39,1337983484527321088,Nunca había visto a tanto maricon reunido.,1,0,0,0,0
40,571374007741624320,@pereaoficial jajajaja url puto,1,0,0,0,0
41,161784697674940416,@alexduartte ta bueno joto despues lo veo,1,0,0,0,0
42,1197663324709588992,@Fer_Gay @TheRock @AlexMonthy A mí @HectorTrejo me inspiró recordándome esta canción: url,0,0,0,0,1
43,727741035204481024,"Transitan echándote las luces largas segun tienen prisa,te rebasan a lo menso y adelante los alcanzas en el semáforo, tan mas #mariquitas",1,0,0,0,0
44,1240700442180341760,Ando de mariquita oyendo música romáurl saben quien soy ahora ?,1,0,0,0,0
45,613383061997158400,Otro joto obsesionado con su peso. Wurl,1,0,0,0,0
46,722768643189178368,Estupido marica mentiroso ignorante  @realDonaldTrump como confunde 911 una tragedia tan marcada para EU y #NewYork url,1,0,0,0,0
47,687497765174161408,@davidolin65 @Cherry_Lune @DanielCoach3 @edufabila11 espero dejes de contestar con esa imagen de maricón y ya entrenes,1,0,0,0,0
48,987920542622564352,No es posible que un #gay no se sepa las #canciones de @GloriaTrevi !!!!! 🙄,1,0,0,0,0
49,701104716550262784,"url

#eitLife Me gustaría  que no existirán los gays; diputada de Morena url",1,0,0,0,0
50,1441530923757948928,"@_TioGamboin Al menos los de acá de Oaxaca no nacemos tan mongoles y gays como un tal ""Gamboín"" te podemos hacer desde un ""taco al pastor"" (de trompo tienes el cuerpo) hasta darte tu ""sushi"" claro su- url 🌶 😂😂",1,0,0,0,0
51,791157192724545536,Vergas con el Gay que me acaba de hablar?,1,0,0,0,0
52,505211597812670464,En un universo alterno @AlxnGxrcix es chairo y @dobbyloca no se volvió puñal.,1,0,0,0,0
53,670253531220209664,Pinches jotos #CivilWar #TeamIronMan #TeamStark url,1,0,0,0,0
54,724328036305235968,Hay algún jugador más puto y maricon que Gago???? @MatiDiGia,1,0,0,0,0
55,1270055875923730432,"Neologismos.
Maricomio : psiquiátrico para locas, maricas y gays.
Apapuchar: Acción de consentir al pubis.
Sopervisor: supervisor torpe.
@lacornetafm @jrsestaca @EVIDEGARAY #nuevoneologismodehoy",1,0,0,0,1
56,309524346110636032,@PepeMontalvo @cometa_ es un puñal.,1,0,0,0,0
57,929528450179768448,"Jajaja ... espero que tú también aguantes y te rías cuando los epítetos lanzados a las mujeres  por el simple hecho de serlo te toquen a ti: “maricón”, “mal cogido”, “histérico”, “menopáusico”, “visceral”, “ninguna verga te acomoda”, “pinche viejo”, “estridente”, “brujo” y más. url",1,0,0,0,0
58,249594473875644416,@JhonatanGaribay ajajajaja si no es que se huanguea tu puño y se vuelve puñal como manuela palma xD,1,0,0,0,0
59,848649645269983232,"""Qué marica, te lo debió de haber dicho de url Bueno, pero ni le das la oportunidad jaja."" 
—Onofre diciéndome mis verdades.",1,0,0,0,0
60,826295758106210304,Creí que era Anahí pero sólo resultó ser un trans. url,0,0,0,1,0
61,619192891072774144,@keevii08 Amor yo t doy besitos para q ya no chilles q maricon eres babe,1,0,0,0,0
62,730861035255521280,Machorra y americanista 🤔,0,1,0,0,0
63,961765037340839936,@lupillesco @Milenio Sólo quiere llamar la atención el joto,1,0,0,0,0
64,1150960701428699136,"@javier8bello @ChivasFemenil Jajajajaja ya Se we, si así tengo pegue con los jotos con esa más 🤦🏻‍♂️",1,0,0,0,0
65,703682064529272832,Caminar por zona rosa y no ver gays es genial 👌🏼🌠,1,0,0,0,0
66,1200463850006401024,@juanistofelez Crei que nada superaría al de multa por marica 😏,1,0,0,0,0
67,1555332870323011584,explíquenme la urgencia de los jotos de hacer reels o tiktoks con peluca y voz de mujer,1,0,0,0,0
68,1573506417113190400,"@mexico_survivor Que se termine este pinche teatro 
Si ya tienen su ganador la producción y el joto del Warrior , pinche decepción de reality
tener que ver ese adefesio llamado Naomi el transformé que se pudran todos los que quedan disque compitiendo.",1,0,0,0,1
69,915974045006405632,Maricon  @puliidooo url,1,0,0,0,0
70,982315282017505152,"Nombres de Puñal:
Leonardo 
Emmanuel 
Sergio
Omar
Saúl
Eric
Eduardo
Rodrigo
Jorge

Ese es todo el tuit gracias por su atención",1,0,0,0,0
71,873300667238043648,"Vecinos! Esta noche proyectaremos con @FESTIVALMIX el documental de @flavioflorencio para @ViceMexico: «Trans»! 8 pm, Callejón del 57! url",0,0,0,0,1
72,1543833613405458432,"@kymberlybebita @AlexisR34751565 No lo tomen en cuenta, los va a dejar plantados el maricon pocos huevos este. url",1,0,0,0,0
73,1458667796649234432,"¿ Crees correcto que no podamos utilizar la palabra maricón porque nos sancionan?
La RAE la avala url",1,0,0,0,0
74,683175363808079872,Ay! Que pinche marica me saliste.,1,0,0,0,0
75,1042390211567726592,"Beto y Enrique de Plaza Sésamo eran pareja, tenían que salir con esto. ¡Por favaar, a fuerza  tiene que ser todo gay!",1,0,0,0,0
76,956042673437147136,"@CriSzis @TheNifel @marcelamerino @FrenteOrgulloMX @adrianodanz @CoalicionLGBTTI @NoticiasLGBT @tagletaigaro @luisperelmanmx @jrisco @JohnMAckerman @CiroGomezL @Movilh @jenarovillamil Si. Hueva. Da la misma que una jota sea un puto o una pasiva. ¿Para que diferenciar entre oso, activa y twink? Pinches categorías innecesarias de maricones y afeminados. Todo es lo mismo que “Gay”.",1,0,0,0,0
77,567414861185839104,@CaroRuix ahhh no entonces es una amiga closetera mas !,0,1,0,0,0
78,776847370201944064,@Johnnyvgarcia @bobbypulido425 @La_Gr0sera el @PezdelReal tiene como 1 semana sin url debe andar pedo! Pinche tigre Joto!,1,0,0,0,0
79,423492581319016448,@Will_FuckU marica ahorita bajo :) vos por cierto todavía sirve transformer JAJAJAJAJAJAJA cuando entras a estudiar ?,1,0,0,1,0
80,1121206652563349632,@SoyEcchi @mayatitos 🤤🤤Quiero.,1,0,0,0,1
81,608037430457978880,Tengo gustos bien maricas.,1,0,0,0,0
82,756895844616417280,@elmorfeus por eso luego salen jotos y travestís los chamacos!!,1,0,0,1,0
83,1262092502372401152,"@Alejand53455108 @PhilPage30 @ChumelTorres Ahí lo dice claramente, aparte de joto,mitomano? url",1,0,0,0,0
84,450697884028002304,@justinbieber pinchi maricon me la chupas,1,0,0,0,0
85,616456898603171840,Te dijeee!!! Borrado por fín y tambien de la selección con su lesión de marica tambien borrado @Fer_capital  url,1,0,0,0,0
86,968273430972977152,@xevtfm si puro joto andaba chupando caña,1,0,0,0,0
87,901450096881139584,"""¡Marica!"", le gritaron, y desde entonces se guardó en un clóset.",1,0,0,0,0
88,1460628601787727872,@julioorojo Primero que nada buenos días y segundo ya se te quito lo joto?,1,0,0,0,0
89,1100908130462982016,"Los gays que dicen ""Bro"", namames, te la comes doblada y me vienes a decir ""bro"".",1,0,0,0,0
90,1490080226725883904,"Lia Thomas, matriculada en la Universidad de Pensylvania, ha dominado la natación femenil universitaria de Estados Unidos, lo cual no hacía cuando hasta hace unos años competía como hombre. ¿Esta situación es a favor de la mujer? url",0,0,0,1,0
91,1232332532416417792,@adrianrm196 Me puedes criticar pero llamarme afeminado es tremenda falta de respeto. Como buen milenial no mides bye,1,0,0,0,0
92,1117058805819498368,"-Jajaja piiiinche joto, quien te pinto las uñas joto?
-Tu mamá",1,0,0,0,0
93,737357358515392512,Ya casi es Junio y tu sigues de puta #ElGorgojoDeMORENA,0,0,0,0,1
94,769717789204451328,@Chivas jotos maricones como @jorgevergara  url,1,0,0,0,0
95,723257084754583552,Me dan mucha risa los memes de la jota de caso cerrado 😂😂😂,1,0,0,0,0
96,698577146432905216,Cervezas light??? Jotos tenían que ser!! 🙄🙄🙄 es lo que hay! @ Embarcadero Nuevo de Nativitas url,1,0,0,0,0
97,1067203437937532800,"El sabado: para quién debe ser el mensaje del festejo de viejito con bastón

Lunes: Pum!! Por andarle jugando al vergas, me lo mandaron a la chingada 

En Computrabajo puedes buscarle como "" Recamarera "" 

Maldito marica",1,0,0,0,0
98,1335986758400532480,"@_mikastro No tiene nalgas, si es lesbiana jajaja",0,1,0,0,0
99,382301751145025600,Me tienes envidia maricón!!,1,0,0,0,0
100,1417889284128792576,@SergioSarmiento @fernandeznorona Entre más viejo mas pendejo y más maricon Norona.,1,0,0,0,0
101,1009084466416050176,"@AlanPonce_29 @Nora_Ruvalcaba @RoyCampos @PGR_mx @TwitterSupport @RickDjMx @emarthaaide @ileana_Mex @sofimenem @CarlosTorresF_ @ManuelVegaCln @carmen_olvera @ysenger @MagdaGraciasFCH @AmyCe2 No manches.

Eso es de maricones.

Tirar a alguien de una silla de ruedas es no tener madre.

Pero a qué no lo hacen en un mitin, porque les va como al Ruso ese que madr
earon por prepotente",1,0,0,0,0
102,1112815679625936768,@poqkeeet Porque Eres Un Vato 🙄 Puta Lencha,0,1,0,0,0
103,731237217306181632,Ya cualquier puñetas crítica a lo pendejo y a la hora de responder url Pinches jotos,1,0,0,0,0
104,797466364109725696,Haciéndosela de pedo a jotos useless,1,0,0,0,0
105,652179258278678528,@HeeyWera pff es bien marica,1,0,0,0,0
106,780234360788099072,@url  Y esperabas tu arcoíris 🌈 marica?,1,0,0,0,0
107,307014607975895040,"""@JBDzul: @bbakiut @gerarddelrivero  oye pitayo no seras joto 😁""//si quieres te demuestro que no soy joto",1,0,0,0,0
108,1524014150879531008,"Felicidades a todos los jotos que si bien no son madres, han cargado con los chavitos de otro 😘",1,0,0,0,0
109,1036404383699726336,"@Pajaropolitico @NewsweekEspanol QUE CHINGUE A SU MADRE ELLO, PORQUE ES JOTO, Y SU MADRINA EL ORATE RT",1,0,0,0,0
110,605475053648551936,No entiendo porque existen hombres tan maricones !! DIOS MIOOOOOO! Que. Penita,1,0,0,0,0
111,1048709151361290240,@El_Universal_Mx Más bien un transgénero jamás será igual a una mujer.,0,0,0,1,0
112,352913317376962560,@A_Yuls  haha los maricones ya no jugaron XD,1,0,0,0,0
113,319907906994700288,"Las de Kittie parecian lesbianas, no como las mystica girls, ellas son bien femeninas",0,1,0,0,0
114,1287965380590305280,"@johnerencastle Eduardo Verástegui terminó de mayate de políticos, le deja más que trabajar en Televisa.",1,0,0,0,0
115,590724662277070848,"noche de sushi, es lo mas gay",1,0,0,0,0
116,426872721436184576,Magnate ofrece 130 mdd al hombre que conquiste a su hija lesbiana url,0,1,0,0,0
117,1249813275853889536,@fernandeznorona Por mi arráncatela viejo joto,1,0,0,0,0
118,1242653814970372096,@FelipeCalderon Una botella de alchol para este borracho pendejo q en su secsenio nunca bajó mucho menos en el del maricon de peña,1,0,0,0,0
119,1222117294706437888,"Es de jotitas muy corrientitas cortar las palabras como para verse ""nice"" o de plano son muy wuebonas para escribir y url 
Que hueva cuando hablan así de ""celu""""pelis""""bendi"" url",1,0,0,0,1
120,550365633763098624,@Maxi_HP @frankymostro no manches ese es un transformer,0,0,0,1,0
121,1363256227468206080,@Sigfridoma @dan_sfn Ya ves!!!!! No dejas de ser el gordito sentimental de la@línea ofensiva jajaja QUE GAY!!!!!,1,0,0,0,0
122,963626904690466816,"Si se dan cuenta que le están subiendo el ego a un joto tapado, VERDAD?",1,0,0,0,0
123,704169287376703488,Y el premio de los mellizos putos es url url,1,0,0,0,0
124,992853644621074432,@divette10 Pose de lencha alfa 🤣,0,1,0,0,0
125,865421676325986304,"No tengo nada en contra de los trans, pero me da mucha risa que enseñan todo. Si en realidad fueran mujeres quizá no se atreverían. 😂",0,0,0,1,0
126,1024349109782687616,"@TakerMetal No, solo digo que yo comencé mi día a las 6 así que mi día ha estado chingon :v tu eres el puto que de cualquier cosa te gusta andar alegando xd",1,0,0,0,0
127,763496474319532032,@gerrykan @MarcoFabian_10 ay! ay! tú las traes. Maricón.,1,0,0,0,0
128,1013806304979292160,No mms pinche @neymarjr marica que te pico una hormiga o que,1,0,0,0,0
129,325814559162109952,Seré Breve: Pinches americanistas maricas.,1,0,0,0,0
130,1431055043411726336,A los únicos que yo voy a respetar su decisión y decir que es no binario son a los hermafroditas o sea en todo el mundo es menos del 1% el cual al día de hoy no he visto a ninguno confundido pidiendo que les reconozcan como no binario jaja,0,0,0,0,1
131,553289412071931904,Tenia que ser su hermano jajaja igual de pinches jotos los dos😂😂😂,1,0,0,0,0
132,1314980223897817088,@Matador08640286 @carwega Jajaja todo un mayate papi dile a tu presidentito jajaja los de la marina parecen mayates bueno son,1,0,0,0,0
133,1448283402843697152,"@EzeTowers @_Anagantios_ Yo también, literal tiene lo peor de los dos lados de los jotos las tóxicas quesque de masculinas que no mandan cara y las jotillas liosas, y lo peor ni cogen jajaja",1,0,0,0,0
134,848916456767139840,"O mejor ""todos"", q incluye femenino, masculino, transgénero, homosexual, bisexual y lo q esta semana agregue la corrección política. url",0,0,0,0,1
135,1269362528301182976,"@genarolozano @gabrielguerrac En la cárcel marica, donde deben estar los delincuentes que infringen la Ley.

Como los que hicieron esto a un policía de Guadalajara url",1,0,0,0,0
136,573017943816077312,"No  se conforman con ser jotas, tienen que ser feas y, encima de todo, hablar como niñas.

¡VER-GA!",1,0,0,0,0
137,431548032551645184,Maldito marica envidioso. Deja de criticar. &gt;.&lt;,1,0,0,0,0
138,1042804703262728192,@Gay_bulge Hermosa!,0,0,0,0,1
139,1047262874413006848,"Tengo familiares Gay, Trans y lesbianas a los que amo muchísimo. Pero ellos tienen sus propios concursos, Miss universo si debería ser solo para mujeres. url",1,1,0,1,1
140,757599922979938304,@Santiagodelacm puñal,1,0,0,0,0
141,774857559656116224,@Ricardo_Jaar El mariconcito de Emilio atacó con alevosía y ventaja! Como buen joto!,1,0,0,0,0
142,1229827613956296704,"Ser homosexual implica que nunca hay agujero equivocado.

Punto para los gays.",1,0,0,0,1
143,739513191504322560,"Ser tortillero me hace lesbiana?

Cco
@oliver_mx url",0,1,0,0,0
144,1448469315422932992,@FresaTigre @lunancys12 @blanks_rayada Te vez más joto sin barba,1,0,0,0,0
145,1188828514688159488,"Si creen que a las Argentinas no les importa nada, no saben lo que son en Mexico 🌶.
Pd: Ya me quisieron coger dos gays 🧐👍🏽",1,0,0,0,0
146,459876943471452160,@Reporte_Indigo pinche joto mejor me la hubieras mentado jajajaja,1,0,0,0,0
147,1397797014235238400,"@florentinakane @HugoChappaloni @mexican_fifi Yo no tengo nada en contra de los homosexuales,lesbianas, travestis, transexuales etc, etc, para nada. Pero como ya hubo un caso, osea hay un antecedente ¿porqué tenemos que arriesgar a las mujeres o niñas a que vuelva a suceder?
Es mi opinión. Pero ""ojo"" no es ley. Cada quien.",1,1,0,1,0
148,512442379434201088,"-MAMÁ!! Y ESA PLAYERA CON GANSOS ROSAS QUE!? 
-Es la que me pediste
- TE DIJE: GUNS AND ROSES! GUNS AND ROSES! 
-PONTE LA PLAYERA JOTITO
-Ay",1,0,0,0,0
149,759426786488750080,¡¡Chingó a su madre nuestra puta moral!!,0,0,0,0,1
150,1497449589829300224,Un putito así url,1,0,0,0,0
151,468646893707214848,@moruzhalee es que tu sabes que ha esta hora se me sale lo marica xD y no finjas que tu tambien me dices cosas lindas /.* [que weca x) ],1,0,0,0,0
152,1425642200340353024,@MichMich92 @Tusico Siempre es sabido que siempre se burlaban de Renata hasta que ella en un antro le aventó una cheve a José y estos la quemaron en las redes por naca y salvaje. Ella solo se defendió del bullying que ese joto le hacía.,1,0,0,0,0
153,1504979986708586496,"@s0fpi @rochaperiodista Oye si, ese niño ya es el escudo infantil oficial de la agresividad closetera de la dama. Así que ni se quejen de los malos tratos que le propina al morrillo que ya deberia de estar acostumbrado!",0,0,0,0,1
154,756354964721545216,"Todos tenemos ese amigo que dice ser gay únicamente para sabrosear a sus amigas 😂😂
Bien ahí campeón",1,0,0,0,0
155,1130833248144248832,"@fernandeznorona Ahí si, me dijo mariquita, me dijo La vestida! Jajajajja jajajaja que nena eres! #quenenaeresnoroña",1,0,0,1,0
156,661558593800417280,"@acelerinoDJ bloody mary?!! pide una cerveza eso esta muy de tremendo marica ,considero",1,0,0,0,0
157,733517185109254144,@AdriannaGarco que marica! Hahaha mejor riiifate en el final!,1,0,0,0,0
158,868220502602653696,@tuca_ferretti @MiguelHerreraDT si  que paso pinche piojo puñal jajajajaja   profe tuca es lo máximo usted   vamos por la  sexta copa  :),1,0,0,0,0
159,451846003700674560,Que estará haciendo la machorrita  @felip87,0,1,0,0,0
160,1453177512671039488,@JTrianaT @ElJuntapalabras Un 'puñal' mugroso,1,0,0,0,0
161,838950669214179328,Les jurooooo que no queríamos bailar tan joto 😂😂😂😂😂😂😈 @danieltvherrera @arturomapache… url,1,0,0,0,0
162,605835050752442368,#Entérate Descubren reproducción asexual de pez sierra url url,0,0,0,0,1
163,592495791526137856,"""Dejen de tuitear sobre el partido, ya empezó Gaim Of trons""

- Un pendejo mariquita.",1,0,0,0,0
164,656684997860982784,"Yo y mi súper poder de tener a puro fan, JOTO! QUE HORROR",1,0,0,0,0
165,611194766089302016,"Mi hijo tiene tendencia homosexual ¿qué hago? url
●Padres &amp; Hermanos Paulinos● url",1,0,0,0,0
166,1501377239358738432,"Mira pendejo tu mides como 1.50 mts.
No tienes piernas ni nalgas, estás feo y prieto, y para terminar, porque juzgas, no me conoces, no te enseñaron respeto en tu casa?
Que no sabes que uno no debe entablar conversación con url #Envidioso tú eres marica",1,0,0,0,0
167,1316221399296598016,"@PacoDelMazo Literal Paquito, me cago! Me harto la jota!",1,0,0,0,0
168,1429630126921224192,JAJAAJAJAJAAJAJAJAJAA estos jotos no le temen a dios url,1,0,0,0,0
169,491321495277146112,@ESTiosBuenos @HoIaSoyGermam eres un corriente homosexual de closet siquiera reconócelo a nadie le importa,1,0,0,0,0
170,1190690281101938688,"Por QUÉ NO LE DICEN A ESTA LESBIANA QUE CALLADA SE VERIA MEJOR NADIE LE PIDIO SU PERRA OPINION Y ANTES DE HABLAR QUE SE LAVE EL HOCICO CON AGUA BENDITA LA SEÑORA VERÓNICA CASTRO ES UNA GRAN DAMA Y UNA GRAN MUJER .
SE TENÍA QUE DECIR Y LO DIJE url",0,1,0,0,0
171,1127747771447037952,"Al final de la transmisión del Cazul-Ame por la App de @TD_Deportes ponen a @CarlosLoret a hablar mal del @lopezobrador_ , televisa eres una arrastrada, que hace el coyon en un programa de deportes? Por eso te quieren dejar sin dientes marica #RedAMLO #LoDiceElSultánDelNorte",1,0,0,0,0
172,787138848576770048,Algún día me voy a casar con Puerto partida (Soy un marica digo soy un cobarde),1,0,0,0,0
173,725070960139730944,Sabes que un hombre es gay cuando pone un playlist de Rocío Dúrcal.,1,0,0,0,0
174,1469399381392728064,@Oswaltol1 Eres Joto verdad?,1,0,0,0,0
175,834262598279274496,Llega un jotito a una taqueria le dice señor taquero meda un taco con chile nooo mejor sin taco y 5 por favor jojojojo 😋,1,0,0,0,0
176,624023742356676608,Malditos changos panameños hijos de puta ya andan de maricones!,1,0,0,0,0
177,400160458994237440,@xneritax bien que te gustaba el pequeño marica :P,1,0,0,0,0
178,727199058129887232,"@barbarasanz7 @ijcasas Grandísimo patan, corriente y maricon",1,0,0,0,0
179,732634602347466752,"Quieren un mundo #SinHomofobia pues que desaparezcan los jotos, maricones, putos, gays, lesbianas, machorras, tortilleras y demás sinónimos",1,1,0,0,1
180,661656896919617536,Que maricas se ven los Corazones en cada #Tweet !,1,0,0,0,0
181,337040383445987328,@ChaloLeite ahora pinchi joto gracias,1,0,0,0,0
182,1376273091656093696,"Wey, peda con rolitas de Lady Gaga, no porque me sale la jotita interna",1,0,0,0,0
183,1216061999626346496,@josecap97 Porque la vida te odia joto,1,0,0,0,0
184,671114272475242496,Puto pelon de mierda @LIGABancomerMX  los odio mueranse a la verga putos Chacón y ustedes putos corruptos a la mierda los odio,1,0,0,0,0
185,1393359175426711552,"Me considero un ser de luz!
(Pero nunca le rendiré tributo a CFE) bola de jotos !",1,0,0,0,0
186,765267435301670912,"Rayos, me bloqueo el marica",1,0,0,0,0
187,933584219586072576,@Enfranjados_DC @RayValenciaT Y los supuestos audios que tenía. La agresión a los aficionados. Es todo un maricon ese Pepillo Hanan,1,0,0,0,0
188,907678091245363200,Esta el joto que siempre se me queda viendo 🤦🏻‍♂️,1,0,0,0,0
189,739389266334224384,"#MePongoBorrachoPor puro gusto, nada por depresion eso es para maricas! xD",1,0,0,0,0
190,804528919776899072,"Si muchas vestidas agregadas has de tener, mayate has de ser",1,0,0,0,0
191,1070696242236264448,"¿Saben como fue que Sheinbaum desapareció el cuerpo de granaderos? 

Exacto. Los volvió bisexuales. MAFIA GAY.",1,0,1,0,0
192,1292973656579211264,"Nodal es la lesbiana intensa de la relación.

Siono.

@elnodal @belindapop url",0,1,0,0,0
193,820781194216402944,@RICARDOPELAEZ9 marica,1,0,0,0,0
194,1276985373072084992,"Mis felicitaciones por este medio a los dos putos de la 4 shit @AntonioAttolini  y @gibranrr no son gays pero ,si se los siguen cogiendo , si se pueden hacer ! url",1,0,0,0,0
195,1280454081509654528,"“Cualquier actor o actriz puede hacer cualquier papel”, ustedes trans como molestan.

Ya los veo si hubieran propuesto a Halle Berry para ser el próximo Batman.",0,0,0,1,0
196,1213613431909212160,Maricas url,1,0,0,0,0
197,1214023365381541888,"El que se cree bien macho y disque Influencer pero realmente @SoyRobRMX es marica y puñetas que le gusta el color rosa y que se pone un mameluco de niños. 🤣

#ConLosNinosNo #RedAmlove #OposicionMoralmenteDerrotada @gallotal #RedAMLO @rorocanibal url",1,0,0,0,0
198,676186845063962624,"-¿Me da un 12 de Tecate light?
-¿No quiere unos tacones también, pinche marica?",1,0,0,0,0
199,1561536248598200320,"¿En qué momento @Tinder permitió que el apartado de mujeres se llevará de homosexuales que fingen ser mujeres?

Y todavía cobran por verlos.

Estás fracasando, @Tinder.",1,0,0,0,0
200,927554684474314752,"Rápido.. ¿CUÁLES ERAN ESAS RESPUESTAS?

Also ""pitonisa"" es un excelente nombr alburero para una mujer trans. url",0,0,0,1,0
201,1517522548120080384,"@juncalssolano Callase el hocico pinche transformer matraquero, url",0,0,0,1,0
202,554419556048203776,Mi @ConchitaWurstQue Pitos Toca En Los #GoldenGlobes??? Maldito Joto Feo!  url,1,0,0,0,0
203,715379158382055424,Qué fuerte #Epn ya olías a #putito url,1,0,0,0,0
204,1047556192090775552,@Alex_16ec @sopitas @greciaplg Pensé que ya no podías ser mas joto ahha,1,0,0,0,0
205,600120670681305088,#vucetichmeteme Todos los de Veracruz son jotos! Jajajajaja,1,0,0,0,0
